major_abbr,pathway,College,iqr_min,q1,median,q3,iqr_max
B MCS ,0,Interdisciplinary Arts and Sciences,2.258823,2.922222,3.182352,3.52,4.0
HIHIME,0,School of Public Health,2.4875,2.904347,3.146153,3.379166,3.7
MS E  ,0,College of Engineering,2.676923,3.171428,3.3171565000000003,3.508333,3.96
FRENCH,0,College of Arts and Sciences,2.32,3.014285,3.4,3.658333,4.0
MKTG  ,10,Foster Business School,2.657142,3.222727,3.4375,3.611111,4.0
TCOMM ,0,Interdisciplinary Arts and Sciences,1.72,2.671428,3.0875,3.433333,4.0
A A   ,0,College of Engineering,2.9,3.35,3.535714,3.73,4.0
SISSE ,0,College of Arts and Sciences,3.8,3.8,3.8,3.8,3.8
B IA  ,0,Interdisciplinary Arts and Sciences,2.461538,2.95,3.28,3.616666,4.0
A CMPT,0,Science Technology Engineering and Mathematics,2.3,2.7,3.1375,3.65,4.0
DRAMA ,50,College of Arts and Sciences,3.67,3.67,3.67,3.67,3.67
B ME  ,0,Science Technology Engineering and Mathematics,2.7,3.117647,3.217647,3.536363,3.87619
MLS   ,0,School of Medicine,3.061538,3.3,3.427272,3.722222,4.0
ANTH  ,20,College of Arts and Sciences,2.7,3.153846,3.6523145,3.828571,3.88
SOC E ,0,College of Arts and Sciences,3.433333,3.433333,3.433333,3.433333,3.433333
HCDE  ,5,College of Engineering,2.8,3.2125,3.3841175,3.55625,3.922222
TGLBST,0,Interdisciplinary Arts and Sciences,2.166666,2.680952,3.166666,3.566666,4.0
B BIO ,0,Science Technology Engineering and Mathematics,2.3,3.0,3.26,3.525,4.0
AES   ,0,College of Arts and Sciences,1.85,2.541666,2.769318,3.138461,3.928571
HCDE  ,0,College of Engineering,2.636842,3.205882,3.441421,3.6,4.0
COM E ,0,College of Arts and Sciences,2.266666,3.122222,3.433333,3.711111,4.0
ACMS  ,0,College of Arts and Sciences,2.925,3.390909,3.568181,3.756818,3.925
NEAR E,0,College of Arts and Sciences,2.733333,2.733333,2.7811825,2.829032,2.829032
BIOL  ,35,College of Arts and Sciences,2.3,3.0,3.2284715000000004,3.473333,4.0
BISMCS,0,Interdisciplinary Arts and Sciences,2.1,2.852941,3.135714,3.415789,3.977777
COMP E,0,Science Technology Engineering and Mathematics,2.941176,3.35,3.4228065,3.711111,3.725
AIS   ,0,College of Arts and Sciences,2.335294,2.693548,2.88,3.069565,3.442857
L ARCH,0,Built Environments,2.695,2.98,3.32,3.566666,3.9
ANTH  ,30,College of Arts and Sciences,2.51875,3.147058,3.512903,3.743478,3.95
WOMEN ,0,College of Arts and Sciences,2.453846,2.954285,3.435,3.647222,3.81
ISS O ,0,College of Arts and Sciences,1.45,2.3375,2.852631,3.3875,4.0
T BUS ,0,Milgard School of Business,2.1,2.866666,3.094444,3.4,3.85
TIAS  ,0,Interdisciplinary Arts and Sciences,1.6,2.653846,2.966666,3.358333,4.0
BIOL  ,45,College of Arts and Sciences,2.5125,3.109523,3.336278,3.533333,4.0
MATH  ,60,College of Arts and Sciences,2.5,3.175,3.445454,3.666666,4.0
ART   ,0,College of Arts and Sciences,2.038461,2.888235,3.1625,3.463157,4.0
MUSIC ,30,College of Arts and Sciences,3.073076,3.186666,3.3142855,3.653488,4.0
CHID  ,0,College of Arts and Sciences,1.9875,2.953846,3.3225485,3.666666,4.0
C SCI ,0,College of Engineering,3.392857,3.683333,3.8,3.892307,4.0
ESRM  ,30,College of the Environment,2.305,2.923076,3.228571,3.520588,4.0
BIOL  ,30,College of Arts and Sciences,2.243478,3.007692,3.2841665,3.56,4.0
LSJ   ,0,College of Arts and Sciences,2.65,3.2,3.4375,3.641176,4.0
BISIND,0,Interdisciplinary Arts and Sciences,3.416666,3.416666,3.416666,3.416666,3.416666
